labID,	age,	error,	depth,	cc
UCID22777,	4070,	25,	44,	2
UCID22646,	4140,	60,	71,	2
UCID22778,	4345,	30,	96,	2
UCID22779,	4370,	25,	124,	2
UCID22035,	4345,	20,	150,	2
UCID22036,	4495,	20,	160,	2
UCID22780,	4230,	70,	173.5,	2
UCID22037,	4665,	20,	190,	2
UCID22038,	4685,	20,	195,	2
UCID22039,	4560,	20,	210,	2
UCID22040,	4570,	20,	220,	2
UCID22041,	4810,	20,	225,	2
UCID22042,	4915,	20,	230,	2
UCID22053,	4815,	20,	230,	2
UCID22043,	4845,	20,	240,	2
