depth	min	max	median	mean
38	-42	-40	-41	-41
38.5	-42	-40	-41	-41
39	-42	-40	-41	-41
39.5	-42	-40	-41	-41
40	-42	-40	-41	-41
40.5	-42	-40	-41	-41
41	-42	-40	-41	-41
41.5	-42	-40	-40	-40
42	-42	-40	-40	-40
42.5	-41	-40	-40	-40
43	-41	-39	-40	-40
43.5	-41	-39	-40	-40
44	-41	-39	-40	-40
44.5	-41	-39	-40	-40
45	-41	-39	-40	-40
45.5	-41	-39	-40	-40
46	-41	-39	-40	-40
46.5	-41	-39	-40	-40
47	-41	-39	-40	-40
47.5	-41	-39	-40	-40
48	-41	-39	-40	-40
48.5	-41	-39	-40	-40
49	-41	-39	-40	-40
49.5	-41	-39	-40	-40
50	-41	-39	-40	-40
