depth	min	max	median	mean
5	6976	7346	7170	7169
5.5	6977	7348	7171	7170
6	6978	7348	7172	7171
6.5	6979	7349	7173	7172
7	6980	7350	7174	7173
7.5	6982	7351	7175	7174
8	6983	7353	7176	7175
8.5	6984	7354	7177	7176
9	6985	7355	7178	7177
9.5	6986	7356	7179	7178
10	6987	7356	7180	7179
10.5	6988	7357	7181	7180
11	6989	7358	7182	7181
11.5	6991	7359	7183	7182
12	6991	7360	7184	7183
12.5	6993	7361	7185	7184
13	6994	7361	7186	7185
13.5	6995	7362	7187	7186
14	6996	7362	7188	7187
14.5	6997	7362	7189	7188
15	6998	7363	7190	7189
15.5	7000	7364	7191	7190
16	7001	7365	7192	7191
16.5	7002	7367	7193	7192
17	7003	7368	7194	7193
17.5	7004	7368	7195	7194
18	7005	7369	7196	7195
18.5	7005	7370	7197	7196
19	7006	7370	7198	7197
19.5	7007	7371	7199	7198
20	7008	7372	7200	7199
20.5	7009	7373	7201	7200
21	7011	7375	7202	7201
21.5	7011	7376	7203	7202
22	7012	7376	7204	7203
22.5	7013	7377	7205	7204
23	7014	7378	7206	7205
23.5	7016	7379	7207	7206
24	7017	7380	7208	7207
24.5	7018	7382	7209	7208
25	7019	7383	7210	7209
25.5	7020	7383	7211	7210
26	7021	7384	7212	7211
26.5	7021	7385	7213	7212
27	7022	7386	7214	7213
27.5	7023	7387	7215	7214
28	7024	7388	7216	7215
28.5	7025	7389	7217	7216
29	7026	7390	7218	7217
29.5	7027	7391	7219	7218
30	7028	7393	7220	7219
30.5	7029	7393	7221	7220
31	7030	7394	7222	7221
31.5	7030	7395	7223	7222
32	7032	7396	7224	7223
32.5	7033	7397	7225	7224
33	7034	7398	7226	7225
33.5	7035	7399	7227	7226
34	7037	7400	7228	7227
34.5	7038	7401	7229	7228
35	7038	7402	7230	7229
35.5	7039	7403	7231	7230
36	7040	7403	7232	7231
36.5	7041	7404	7233	7232
37	7042	7405	7235	7233
37.5	7043	7406	7236	7234
38	7044	7407	7237	7235
38.5	7045	7408	7237	7236
39	7046	7409	7238	7237
39.5	7047	7410	7240	7238
40	7047	7411	7241	7239
40.5	7049	7412	7242	7239
41	7050	7414	7243	7240
41.5	7051	7415	7244	7241
42	7052	7416	7245	7242
42.5	7053	7416	7246	7243
43	7053	7417	7247	7244
43.5	7054	7419	7248	7245
44	7055	7419	7249	7246
44.5	7056	7421	7250	7247
45	7056	7422	7251	7248
45.5	7057	7423	7252	7249
46	7058	7424	7253	7250
46.5	7059	7425	7254	7251
47	7060	7426	7255	7252
47.5	7061	7427	7256	7253
48	7062	7428	7256	7254
48.5	7063	7430	7258	7255
49	7064	7431	7259	7256
49.5	7064	7432	7260	7257
50	7065	7433	7261	7258
50.5	7066	7434	7262	7259
51	7067	7434	7263	7260
51.5	7069	7436	7264	7261
52	7070	7436	7265	7262
52.5	7071	7437	7266	7263
53	7071	7438	7267	7264
53.5	7072	7439	7268	7265
54	7074	7440	7269	7266
54.5	7075	7441	7270	7267
55	7075	7442	7271	7268
55.5	7076	7443	7272	7269
56	7078	7444	7273	7270
56.5	7079	7445	7274	7271
57	7080	7446	7275	7272
57.5	7081	7447	7276	7273
58	7081	7448	7277	7274
58.5	7082	7450	7277	7275
59	7083	7451	7279	7276
59.5	7084	7453	7280	7277
60	7085	7454	7281	7278
60.5	7086	7454	7282	7279
61	7088	7455	7282	7280
61.5	7089	7456	7283	7281
62	7091	7456	7284	7282
62.5	7092	7457	7286	7283
63	7092	7458	7287	7284
63.5	7093	7459	7288	7285
64	7094	7460	7289	7286
64.5	7095	7461	7290	7287
65	7097	7463	7290	7288
65.5	7098	7464	7291	7289
66	7098	7465	7292	7290
66.5	7099	7465	7294	7291
67	7101	7467	7295	7292
67.5	7102	7468	7295	7293
68	7103	7469	7297	7294
68.5	7104	7470	7298	7295
69	7104	7471	7298	7296
69.5	7106	7472	7299	7297
70	7107	7473	7300	7298
