depth	min	max	median	mean
3	7421	7641	7533	7532
3.5	7422	7642	7534	7533
4	7424	7643	7535	7534
4.5	7425	7643	7536	7535
5	7426	7644	7537	7536
5.5	7427	7646	7538	7537
6	7428	7646	7539	7538
6.5	7429	7647	7540	7539
7	7430	7648	7541	7540
7.5	7431	7649	7542	7541
8	7432	7650	7543	7542
8.5	7433	7651	7544	7543
9	7435	7652	7545	7544
9.5	7436	7653	7546	7545
10	7437	7653	7547	7546
10.5	7438	7654	7548	7547
11	7439	7655	7549	7549
11.5	7440	7656	7550	7550
12	7442	7657	7551	7551
12.5	7443	7658	7552	7552
13	7444	7659	7553	7553
13.5	7445	7660	7555	7554
14	7447	7661	7556	7555
14.5	7448	7662	7557	7556
15	7449	7663	7558	7557
15.5	7450	7664	7559	7558
16	7452	7665	7560	7559
16.5	7453	7666	7561	7561
17	7455	7667	7562	7562
17.5	7456	7669	7563	7563
18	7457	7670	7564	7564
18.5	7459	7671	7565	7565
19	7460	7673	7566	7566
19.5	7462	7674	7567	7567
20	7463	7675	7569	7568
20.5	7464	7676	7570	7569
21	7465	7677	7571	7571
21.5	7467	7677	7572	7572
22	7468	7678	7573	7573
22.5	7469	7680	7574	7574
23	7470	7681	7575	7575
23.5	7472	7681	7576	7576
24	7473	7682	7578	7577
24.5	7474	7683	7579	7579
25	7475	7684	7580	7580
25.5	7477	7684	7581	7581
26	7478	7686	7582	7582
26.5	7479	7687	7583	7583
27	7480	7688	7584	7584
27.5	7482	7688	7586	7585
28	7483	7690	7587	7587
28.5	7483	7691	7588	7588
29	7484	7692	7589	7589
29.5	7486	7692	7590	7590
30	7487	7693	7591	7591
30.5	7488	7694	7592	7592
31	7490	7696	7593	7593
31.5	7491	7697	7595	7595
32	7492	7698	7596	7596
32.5	7494	7699	7597	7597
33	7495	7701	7598	7598
33.5	7496	7702	7599	7599
34	7498	7702	7600	7600
34.5	7499	7703	7602	7601
35	7500	7704	7603	7603
35.5	7500	7705	7604	7604
36	7501	7706	7605	7605
36.5	7502	7707	7606	7606
37	7504	7708	7607	7607
37.5	7505	7709	7608	7608
38	7507	7711	7609	7609
38.5	7508	7712	7610	7610
39	7510	7712	7611	7612
39.5	7511	7713	7613	7613
40	7513	7714	7614	7614
40.5	7514	7715	7615	7615
41	7515	7717	7616	7616
41.5	7516	7718	7617	7617
42	7517	7719	7618	7618
42.5	7518	7720	7619	7619
43	7519	7721	7621	7621
43.5	7520	7722	7622	7622
44	7522	7723	7623	7623
44.5	7523	7724	7624	7624
45	7524	7725	7625	7625
45.5	7525	7725	7626	7626
46	7526	7727	7627	7627
46.5	7528	7729	7628	7628
47	7529	7730	7629	7630
47.5	7530	7731	7631	7631
48	7532	7732	7632	7632
48.5	7533	7733	7633	7633
49	7534	7734	7634	7634
49.5	7536	7735	7635	7635
50	7537	7735	7636	7636
50.5	7537	7736	7638	7638
51	7539	7737	7639	7639
51.5	7541	7739	7640	7640
52	7541	7739	7641	7641
52.5	7543	7740	7642	7642
53	7544	7742	7643	7643
53.5	7545	7742	7645	7644
54	7546	7744	7646	7645
54.5	7548	7745	7647	7647
55	7549	7746	7648	7648
55.5	7551	7747	7649	7649
56	7552	7747	7650	7650
56.5	7553	7748	7651	7651
57	7555	7750	7652	7652
57.5	7556	7751	7653	7653
58	7557	7752	7654	7654
58.5	7558	7752	7655	7656
59	7559	7753	7657	7657
59.5	7560	7755	7658	7658
60	7562	7756	7659	7659
60.5	7563	7757	7660	7660
61	7564	7758	7661	7661
61.5	7565	7759	7662	7662
62	7566	7759	7663	7663
62.5	7568	7761	7664	7664
63	7569	7763	7665	7665
63.5	7570	7763	7666	7667
64	7571	7764	7667	7668
64.5	7572	7765	7668	7669
65	7573	7766	7670	7670
65.5	7575	7766	7671	7671
66	7576	7768	7672	7672
66.5	7578	7769	7673	7673
67	7579	7770	7674	7674
67.5	7580	7770	7675	7675
68	7581	7771	7676	7676
68.5	7583	7772	7677	7677
69	7584	7774	7678	7679
69.5	7585	7774	7679	7680
70	7587	7775	7680	7681
70.5	7588	7776	7681	7682
71	7588	7777	7683	7683
71.5	7589	7778	7684	7684
72	7591	7779	7685	7685
72.5	7592	7780	7686	7686
73	7592	7781	7687	7687
73.5	7594	7782	7688	7688
74	7595	7782	7689	7689
74.5	7596	7783	7690	7691
75	7597	7784	7691	7692
75.5	7598	7785	7692	7693
76	7599	7786	7693	7694
76.5	7601	7787	7695	7695
77	7601	7788	7696	7696
77.5	7603	7789	7697	7697
78	7603	7790	7698	7698
78.5	7605	7791	7699	7699
79	7606	7792	7700	7700
79.5	7608	7793	7701	7701
80	7608	7794	7702	7702
80.5	7610	7795	7703	7703
81	7610	7796	7704	7704
81.5	7611	7797	7705	7705
82	7612	7798	7706	7706
82.5	7613	7799	7707	7707
83	7614	7800	7708	7708
83.5	7615	7801	7709	7709
84	7617	7802	7710	7710
84.5	7618	7803	7711	7711
85	7619	7803	7712	7712
85.5	7620	7805	7713	7713
86	7621	7805	7714	7714
86.5	7622	7806	7715	7715
87	7623	7807	7716	7716
87.5	7624	7808	7717	7717
88	7625	7809	7718	7718
88.5	7625	7810	7719	7719
89	7627	7812	7720	7720
89.5	7628	7813	7721	7721
90	7629	7814	7722	7722
90.5	7630	7815	7723	7723
91	7630	7816	7724	7724
91.5	7631	7817	7725	7725
92	7632	7818	7726	7726
92.5	7633	7819	7727	7727
93	7633	7820	7728	7728
93.5	7634	7821	7729	7729
94	7635	7822	7730	7730
94.5	7636	7823	7731	7730
95	7637	7823	7732	7731
95.5	7638	7825	7733	7732
96	7639	7826	7734	7733
96.5	7639	7827	7735	7734
97	7640	7828	7736	7735
97.5	7641	7829	7737	7736
98	7641	7830	7737	7737
98.5	7643	7831	7738	7738
99	7644	7832	7739	7739
99.5	7645	7832	7740	7740
100	7646	7833	7741	7741
100.5	7647	7834	7742	7742
101	7648	7836	7744	7743
101.5	7649	7836	7745	7744
102	7650	7837	7746	7745
102.5	7651	7838	7747	7746
103	7652	7839	7747	7747
103.5	7653	7840	7748	7748
104	7654	7841	7749	7749
104.5	7654	7842	7750	7750
105	7655	7843	7751	7751
105.5	7656	7844	7752	7751
106	7657	7845	7753	7752
106.5	7658	7845	7754	7753
107	7659	7846	7755	7754
107.5	7660	7847	7755	7755
108	7661	7848	7756	7756
108.5	7662	7849	7757	7757
109	7663	7850	7758	7758
109.5	7664	7851	7759	7759
110	7665	7852	7760	7760
110.5	7666	7853	7761	7761
111	7667	7853	7762	7762
111.5	7668	7854	7763	7763
112	7669	7854	7764	7764
112.5	7669	7855	7765	7765
113	7670	7856	7766	7766
113.5	7671	7857	7767	7767
114	7672	7858	7768	7768
114.5	7674	7859	7769	7768
115	7675	7860	7770	7769
115.5	7676	7861	7771	7770
116	7677	7862	7772	7771
116.5	7678	7863	7773	7772
117	7679	7864	7774	7773
117.5	7680	7865	7774	7774
118	7680	7866	7775	7775
118.5	7681	7867	7776	7776
119	7682	7868	7777	7777
119.5	7683	7869	7778	7778
120	7684	7870	7779	7779
120.5	7685	7871	7780	7780
121	7686	7872	7781	7781
121.5	7687	7873	7782	7782
122	7688	7874	7783	7783
122.5	7689	7875	7784	7784
123	7690	7876	7785	7785
123.5	7691	7877	7786	7786
124	7692	7877	7787	7786
124.5	7694	7878	7788	7787
125	7695	7879	7789	7788
125.5	7696	7880	7790	7789
126	7696	7881	7791	7790
126.5	7697	7882	7792	7791
127	7699	7883	7792	7792
127.5	7699	7884	7793	7793
128	7700	7885	7794	7794
128.5	7702	7886	7795	7795
129	7703	7887	7796	7796
129.5	7704	7888	7797	7797
130	7705	7889	7798	7798
130.5	7705	7890	7799	7799
131	7706	7890	7800	7800
131.5	7707	7891	7801	7801
132	7707	7892	7802	7802
132.5	7708	7893	7803	7803
133	7709	7894	7804	7804
133.5	7710	7895	7805	7804
134	7711	7896	7806	7805
134.5	7712	7896	7807	7806
135	7713	7897	7808	7807
135.5	7714	7899	7809	7808
136	7715	7899	7810	7809
136.5	7717	7900	7811	7810
137	7717	7901	7812	7811
137.5	7718	7902	7813	7812
138	7719	7904	7814	7813
138.5	7720	7904	7815	7814
139	7721	7905	7816	7815
139.5	7721	7906	7817	7816
140	7722	7907	7818	7817
140.5	7723	7908	7819	7818
141	7724	7909	7820	7819
141.5	7725	7910	7821	7820
142	7726	7911	7822	7821
142.5	7727	7912	7822	7822
143	7728	7913	7823	7822
143.5	7729	7914	7824	7823
144	7730	7914	7825	7824
144.5	7731	7915	7826	7825
145	7732	7916	7828	7826
145.5	7733	7917	7828	7827
146	7735	7918	7829	7828
146.5	7736	7919	7830	7829
147	7736	7920	7831	7830
147.5	7737	7921	7832	7831
148	7738	7922	7833	7832
148.5	7739	7923	7834	7833
149	7740	7923	7835	7834
149.5	7742	7924	7836	7835
150	7743	7925	7837	7836
150.5	7744	7926	7838	7836
151	7745	7928	7839	7837
