labID,age,error,depth,cc
UCID22782,6610,30,8,2
UCID22044,6940,20,15,2
UCID22045,7255,25,60,2
UCID22046,7360,25,75,2
UCID22047,7345,25,80,2
UCID22048,7295,20,85,2
UCID22783,7400,30,143,2
UCID22049,7350,25,160,2
UCID22050,7225,20,170,2
UCID22051,7305,20,175,2
UCID22052,7360,25,195,2
