labID,	age,	error,	depth,	cc
UCID22640,	6850,	60,	21,	2
UCID22768,	6860,	30,	52.5,	2
UCID22795,	6840,	60,	52.5,	2
UCID22769,	6835,	30,	52.5,	2
UCID23436,	6950,	20,	104,	2
UCID22031,	6805,	25,	105,	2
UCID22032,	6945,	20,	115,	2
UCID22033,	6920,	20,	130,	2
UCID22770,	6985,	30,	149.5,	2
