depth	min	max	median	mean
0	6960	7217	7099	7096
0.5	6961	7218	7099	7096
1	6961	7218	7100	7097
1.5	6962	7219	7100	7097
2	6962	7219	7100	7098
2.5	6963	7220	7101	7098
3	6963	7220	7101	7099
3.5	6964	7221	7102	7099
4	6965	7221	7102	7100
4.5	6965	7222	7103	7100
5	6966	7222	7103	7101
5.5	6967	7223	7104	7101
6	6967	7223	7104	7102
6.5	6968	7224	7105	7102
7	6969	7224	7105	7103
7.5	6969	7224	7106	7103
8	6970	7225	7106	7104
8.5	6971	7225	7107	7104
9	6971	7226	7107	7105
9.5	6972	7226	7108	7105
10	6972	7227	7108	7106
10.5	6973	7227	7108	7106
11	6974	7228	7109	7107
11.5	6974	7228	7109	7107
12	6974	7229	7110	7108
12.5	6975	7229	7111	7109
13	6975	7230	7111	7109
13.5	6975	7230	7112	7110
14	6976	7231	7112	7110
14.5	6977	7231	7113	7111
15	6977	7232	7113	7111
15.5	6978	7232	7114	7112
16	6978	7233	7114	7112
16.5	6979	7233	7115	7113
17	6980	7234	7115	7113
17.5	6981	7235	7116	7114
18	6982	7235	7116	7114
18.5	6982	7236	7117	7115
19	6982	7236	7117	7115
19.5	6983	7237	7118	7116
20	6983	7237	7118	7116
20.5	6984	7238	7119	7117
21	6984	7238	7119	7117
21.5	6985	7239	7120	7118
22	6986	7240	7120	7118
22.5	6986	7240	7121	7119
23	6987	7241	7121	7119
23.5	6988	7241	7122	7120
24	6988	7242	7122	7120
24.5	6989	7242	7123	7121
25	6989	7242	7123	7121
25.5	6990	7243	7124	7122
26	6991	7244	7124	7122
26.5	6991	7245	7125	7123
27	6991	7245	7125	7123
27.5	6992	7245	7126	7124
28	6992	7246	7126	7124
28.5	6992	7246	7127	7125
29	6993	7247	7127	7125
29.5	6993	7247	7128	7126
30	6994	7248	7128	7126
30.5	6994	7248	7129	7127
31	6995	7248	7129	7127
31.5	6995	7249	7130	7128
32	6996	7249	7130	7128
32.5	6996	7250	7131	7129
33	6996	7250	7131	7129
33.5	6997	7251	7132	7130
34	6997	7251	7132	7130
34.5	6997	7251	7133	7131
35	6998	7252	7133	7131
35.5	6998	7252	7134	7132
36	6999	7253	7134	7132
36.5	6999	7253	7135	7133
37	7000	7254	7135	7133
37.5	7000	7254	7136	7134
38	7001	7255	7136	7134
38.5	7001	7255	7137	7135
39	7002	7256	7137	7135
39.5	7002	7257	7138	7136
40	7002	7257	7138	7136
40.5	7003	7258	7139	7137
41	7003	7258	7139	7137
41.5	7004	7259	7140	7138
42	7004	7259	7140	7138
42.5	7005	7260	7141	7139
43	7005	7260	7142	7139
43.5	7006	7261	7142	7140
44	7006	7261	7142	7140
44.5	7007	7262	7143	7141
45	7007	7262	7143	7141
45.5	7008	7263	7144	7142
46	7008	7263	7144	7142
46.5	7009	7264	7145	7143
47	7010	7264	7145	7143
47.5	7010	7265	7146	7144
48	7010	7265	7146	7144
48.5	7011	7265	7147	7145
49	7012	7266	7147	7145
49.5	7012	7267	7148	7146
50	7013	7267	7148	7146
