lab ID,Age,Error,Depth,cc
UCID22784,6555,30,20,2
UCID22797,6580,60,20,2
UCID22805,6580,60,20,2
UCID22806,6580,60,20,2
UCID22785,6560,30,25,2
UCID22786,6590,60,40,2
