depth(-10)	min	max	median	mean
20	6304	6557	6432	6431
20.5	6305	6558	6433	6432
21	6306	6559	6434	6433
21.5	6307	6560	6435	6435
22	6309	6560	6436	6436
22.5	6310	6561	6437	6437
23	6311	6562	6439	6438
23.5	6312	6563	6440	6439
24	6313	6564	6441	6440
24.5	6314	6565	6442	6441
25	6315	6567	6443	6442
25.5	6316	6567	6444	6443
26	6317	6568	6445	6444
26.5	6319	6569	6446	6445
27	6320	6570	6447	6446
27.5	6321	6571	6448	6447
28	6322	6572	6449	6448
28.5	6323	6572	6450	6449
29	6325	6573	6450	6450
29.5	6326	6574	6451	6451
30	6327	6575	6452	6452
30.5	6328	6576	6453	6453
31	6329	6577	6454	6454
31.5	6330	6578	6455	6455
32	6331	6579	6456	6456
32.5	6332	6580	6457	6457
33	6333	6581	6458	6458
33.5	6335	6582	6459	6459
34	6336	6583	6460	6460
34.5	6337	6584	6461	6461
35	6338	6585	6462	6462
35.5	6339	6586	6463	6463
36	6340	6586	6464	6464
36.5	6342	6587	6465	6465
37	6342	6588	6466	6466
37.5	6343	6588	6467	6467
38	6344	6590	6468	6468
38.5	6345	6590	6469	6469
39	6346	6591	6470	6470
39.5	6347	6592	6471	6471
40	6347	6593	6472	6472
40.5	6349	6594	6473	6473
41	6350	6595	6474	6474
41.5	6352	6595	6475	6475
42	6353	6596	6476	6476
42.5	6354	6597	6477	6477
43	6355	6598	6478	6478
43.5	6356	6599	6480	6479
44	6357	6600	6480	6480
44.5	6358	6600	6481	6481
45	6359	6602	6482	6482
45.5	6360	6602	6483	6483
46	6362	6603	6485	6484
46.5	6363	6604	6485	6485
47	6364	6605	6486	6486
47.5	6365	6605	6488	6487
48	6366	6607	6488	6488
48.5	6367	6607	6489	6489
49	6369	6609	6490	6490
49.5	6370	6609	6491	6491
50	6371	6610	6492	6492
50.5	6372	6611	6493	6493
51	6373	6612	6494	6494
51.5	6374	6613	6495	6495
52	6375	6614	6496	6496
52.5	6377	6615	6497	6497
53	6378	6616	6498	6498
53.5	6379	6617	6499	6499
54	6380	6618	6500	6500
54.5	6381	6619	6501	6501
55	6382	6620	6502	6502
55.5	6383	6621	6503	6503
56	6384	6622	6503	6504
56.5	6386	6623	6504	6505
57	6387	6624	6505	6506
57.5	6388	6624	6507	6507
58	6389	6625	6508	6508
58.5	6391	6626	6509	6509
59	6392	6627	6510	6510
59.5	6393	6628	6511	6511
60	6394	6629	6512	6512
60.5	6395	6630	6513	6513
61	6396	6631	6513	6514
61.5	6397	6632	6514	6515
62	6398	6633	6515	6516
62.5	6399	6634	6516	6517
63	6400	6635	6517	6518
63.5	6401	6635	6518	6519
64	6402	6636	6520	6520
64.5	6403	6638	6521	6521
65	6404	6639	6521	6522
65.5	6405	6640	6522	6523
66	6406	6640	6523	6524
66.5	6407	6641	6524	6525
67	6408	6642	6526	6526
67.5	6409	6643	6527	6527
68	6410	6644	6527	6528
68.5	6411	6645	6528	6529
69	6412	6645	6529	6530
69.5	6413	6646	6530	6531
70	6414	6647	6531	6532
70.5	6415	6648	6533	6533
71	6417	6648	6534	6534
71.5	6418	6650	6535	6535
72	6419	6651	6536	6536
72.5	6420	6652	6537	6537
73	6421	6653	6538	6538
73.5	6422	6654	6539	6539
74	6423	6654	6540	6540
74.5	6424	6656	6541	6541
75	6425	6657	6542	6542
75.5	6426	6658	6543	6543
76	6427	6659	6544	6544
76.5	6428	6660	6545	6545
77	6430	6661	6546	6546
77.5	6430	6662	6547	6547
78	6431	6664	6548	6548
78.5	6432	6665	6549	6549
79	6433	6666	6550	6550
79.5	6435	6667	6551	6551
80	6436	6669	6552	6552
80.5	6437	6670	6553	6553
81	6438	6671	6554	6554
81.5	6439	6672	6555	6555
82	6440	6672	6556	6556
82.5	6442	6673	6557	6557
83	6443	6675	6558	6558
83.5	6444	6675	6559	6559
84	6445	6676	6560	6560
84.5	6445	6677	6561	6561
85	6446	6678	6562	6562
85.5	6447	6679	6563	6563
86	6448	6680	6564	6564
86.5	6450	6681	6565	6566
87	6451	6682	6566	6567
87.5	6452	6683	6567	6568
88	6453	6684	6568	6569
88.5	6454	6685	6570	6570
89	6455	6686	6571	6571
89.5	6456	6687	6571	6572
90	6457	6688	6573	6573
90.5	6458	6689	6574	6574
91	6460	6690	6575	6575
91.5	6461	6691	6575	6576
92	6462	6691	6577	6577
92.5	6462	6692	6578	6578
93	6463	6693	6579	6579
93.5	6465	6694	6580	6580
94	6466	6695	6581	6581
94.5	6467	6696	6582	6582
95	6468	6697	6583	6583
95.5	6469	6698	6584	6584
96	6470	6699	6585	6585
96.5	6471	6700	6586	6586
97	6472	6701	6587	6587
97.5	6472	6702	6588	6588
98	6473	6703	6589	6589
98.5	6474	6705	6590	6590
99	6475	6706	6591	6591
99.5	6475	6707	6592	6592
100	6476	6709	6593	6593
100.5	6477	6710	6594	6594
101	6478	6711	6595	6595
101.5	6479	6712	6596	6596
102	6480	6713	6597	6597
102.5	6481	6714	6598	6598
103	6482	6715	6599	6599
103.5	6483	6716	6600	6600
104	6483	6717	6601	6601
104.5	6484	6718	6602	6602
105	6485	6719	6603	6603
105.5	6486	6720	6604	6604
106	6487	6721	6605	6605
106.5	6489	6722	6606	6606
107	6490	6723	6607	6607
107.5	6491	6724	6608	6608
108	6492	6725	6609	6609
108.5	6494	6727	6610	6610
109	6495	6728	6611	6611
109.5	6496	6729	6612	6612
110	6497	6731	6613	6613
110.5	6498	6731	6614	6614
111	6499	6732	6615	6615
111.5	6500	6733	6616	6616
112	6501	6734	6617	6617
112.5	6502	6735	6618	6618
113	6503	6736	6619	6619
113.5	6504	6737	6620	6620
114	6505	6738	6621	6621
114.5	6506	6739	6622	6622
115	6507	6740	6623	6624
115.5	6508	6742	6624	6625
116	6509	6743	6625	6626
116.5	6510	6744	6626	6627
117	6511	6744	6627	6628
117.5	6512	6745	6628	6629
118	6513	6747	6629	6630
118.5	6515	6748	6630	6631
119	6515	6749	6631	6632
119.5	6516	6750	6632	6633
120	6517	6751	6633	6634
120.5	6518	6752	6634	6635
121	6519	6753	6635	6636
121.5	6520	6754	6636	6637
122	6521	6756	6637	6638
122.5	6522	6757	6638	6639
123	6523	6758	6639	6640
123.5	6524	6759	6640	6641
124	6524	6760	6641	6642
124.5	6525	6761	6643	6643
125	6526	6762	6644	6644
125.5	6527	6763	6645	6645
126	6528	6764	6646	6646
126.5	6529	6765	6647	6647
127	6530	6766	6648	6648
127.5	6531	6767	6649	6649
128	6532	6768	6649	6650
128.5	6534	6769	6651	6651
129	6535	6770	6652	6652
129.5	6535	6771	6653	6653
130	6536	6773	6654	6654
130.5	6537	6774	6655	6655
131	6538	6775	6656	6656
131.5	6539	6776	6657	6657
132	6540	6777	6658	6658
132.5	6541	6779	6659	6659
133	6542	6780	6660	6660
133.5	6543	6780	6661	6661
134	6544	6782	6662	6662
134.5	6545	6783	6663	6663
135	6545	6784	6664	6664
135.5	6546	6785	6665	6665
136	6548	6786	6667	6666
136.5	6548	6788	6667	6667
137	6549	6788	6668	6668
137.5	6551	6790	6669	6670
138	6552	6791	6670	6671
138.5	6553	6792	6672	6672
139	6554	6793	6673	6673
139.5	6555	6794	6673	6674
140	6556	6795	6674	6675
140.5	6557	6796	6676	6676
141	6559	6797	6677	6677
141.5	6560	6798	6678	6678
142	6561	6799	6679	6679
142.5	6562	6800	6680	6680
143	6563	6801	6681	6681
143.5	6564	6802	6682	6682
144	6565	6803	6683	6683
144.5	6567	6804	6684	6684
145	6568	6805	6685	6685
145.5	6569	6806	6686	6686
146	6570	6807	6687	6687
146.5	6571	6808	6688	6688
147	6572	6810	6689	6689
147.5	6573	6811	6690	6690
148	6574	6812	6691	6691
148.5	6575	6813	6692	6692
149	6575	6814	6693	6693
149.5	6576	6815	6694	6694
150	6577	6816	6695	6695
150.5	6578	6817	6696	6696
151	6579	6818	6697	6697
151.5	6580	6819	6698	6698
152	6580	6820	6699	6699
152.5	6582	6821	6700	6700
153	6583	6822	6701	6701
153.5	6584	6823	6703	6702
154	6585	6824	6704	6703
154.5	6585	6825	6705	6704
155	6586	6826	6706	6705
155.5	6587	6827	6707	6706
156	6588	6828	6708	6707
156.5	6590	6829	6709	6709
157	6591	6830	6710	6710
157.5	6592	6831	6711	6711
158	6594	6832	6712	6712
158.5	6595	6833	6713	6713
159	6596	6834	6714	6714
159.5	6597	6835	6715	6715
160	6598	6836	6716	6716
160.5	6598	6838	6717	6717
161	6599	6839	6718	6718
161.5	6600	6840	6719	6719
162	6602	6841	6720	6720
162.5	6603	6842	6721	6721
163	6603	6843	6722	6722
163.5	6604	6844	6723	6723
164	6606	6845	6724	6724
164.5	6607	6846	6726	6725
165	6608	6848	6727	6726
165.5	6609	6849	6728	6727
166	6610	6849	6729	6728
166.5	6611	6850	6730	6729
167	6612	6852	6731	6730
167.5	6612	6853	6732	6731
168	6613	6853	6733	6732
168.5	6614	6854	6734	6733
169	6615	6855	6735	6734
169.5	6615	6856	6736	6735
170	6616	6857	6737	6736
170.5	6617	6858	6738	6737
171	6618	6859	6739	6738
171.5	6619	6860	6740	6739
172	6620	6861	6741	6741
172.5	6621	6862	6742	6742
173	6623	6864	6743	6743
173.5	6624	6865	6744	6744
174	6625	6866	6745	6745
174.5	6625	6867	6746	6746
175	6627	6868	6747	6747
175.5	6627	6869	6748	6748
176	6629	6869	6749	6749
176.5	6630	6870	6750	6750
177	6631	6872	6751	6751
177.5	6632	6873	6752	6752
178	6634	6873	6753	6753
178.5	6634	6876	6754	6754
179	6635	6877	6755	6755
179.5	6636	6878	6756	6756
180	6636	6879	6757	6757
180.5	6638	6880	6758	6758
181	6638	6880	6759	6759
181.5	6639	6881	6760	6760
182	6641	6882	6761	6761
182.5	6641	6883	6762	6762
183	6642	6884	6763	6763
183.5	6643	6886	6764	6764
184	6645	6887	6765	6765
184.5	6645	6888	6766	6766
185	6646	6890	6767	6768
185.5	6647	6891	6768	6769
186	6648	6892	6769	6770
186.5	6649	6893	6770	6771
187	6650	6894	6771	6772
187.5	6651	6895	6772	6773
188	6652	6896	6773	6774
188.5	6653	6898	6774	6775
189	6654	6899	6775	6776
189.5	6654	6900	6776	6777
190	6655	6902	6777	6778
190.5	6657	6903	6778	6779
191	6658	6904	6779	6780
191.5	6659	6905	6780	6781
192	6660	6906	6781	6782
192.5	6661	6907	6782	6783
193	6662	6909	6784	6784
193.5	6663	6909	6785	6785
194	6664	6910	6786	6786
194.5	6665	6911	6787	6787
195	6666	6912	6788	6788
195.5	6667	6913	6789	6789
196	6668	6915	6789	6790
196.5	6669	6916	6791	6791
197	6670	6918	6792	6792
197.5	6671	6919	6793	6793
198	6672	6919	6794	6794
198.5	6672	6920	6795	6795
199	6673	6922	6796	6796
199.5	6674	6923	6797	6797
200	6675	6924	6798	6798
200.5	6676	6924	6799	6799
201	6677	6925	6800	6800
201.5	6677	6926	6801	6801
202	6678	6927	6802	6802
202.5	6679	6928	6803	6803
203	6680	6930	6804	6805
203.5	6681	6931	6805	6806
204	6681	6932	6806	6807
204.5	6682	6933	6807	6808
205	6684	6935	6808	6809
205.5	6685	6936	6809	6810
206	6686	6937	6810	6811
206.5	6687	6938	6811	6812
207	6688	6940	6812	6813
207.5	6690	6941	6813	6814
208	6691	6942	6814	6815
208.5	6691	6943	6815	6816
209	6692	6944	6816	6817
209.5	6693	6945	6817	6818
210	6694	6946	6818	6819
210.5	6695	6947	6819	6820
211	6696	6948	6820	6821
211.5	6698	6949	6821	6822
212	6698	6950	6822	6823
212.5	6700	6951	6824	6824
213	6701	6953	6825	6825
213.5	6702	6954	6826	6826
214	6703	6955	6827	6827
214.5	6704	6957	6828	6828
215	6705	6958	6829	6829
