depth	min	max	median	mean
0	7261	7526	7396	7395
0.5	7262	7527	7397	7396
1	7263	7527	7398	7397
1.5	7265	7529	7399	7398
2	7266	7530	7400	7399
2.5	7267	7531	7401	7400
3	7268	7531	7402	7401
3.5	7269	7532	7403	7402
4	7270	7534	7404	7404
4.5	7271	7535	7405	7405
5	7272	7535	7407	7406
5.5	7273	7536	7407	7407
6	7275	7537	7408	7408
6.5	7275	7538	7409	7409
7	7276	7539	7411	7410
7.5	7277	7540	7412	7411
8	7278	7541	7413	7412
8.5	7279	7542	7414	7413
9	7280	7543	7415	7414
9.5	7282	7544	7416	7415
10	7283	7545	7417	7416
10.5	7284	7546	7418	7417
11	7285	7547	7419	7418
11.5	7286	7548	7420	7419
12	7288	7549	7421	7420
12.5	7289	7549	7422	7421
13	7290	7550	7423	7422
13.5	7292	7551	7424	7423
14	7293	7552	7425	7424
14.5	7294	7554	7426	7425
15	7295	7555	7427	7426
15.5	7296	7556	7428	7427
16	7297	7557	7429	7428
16.5	7297	7557	7430	7429
17	7299	7558	7431	7430
17.5	7300	7558	7432	7431
18	7301	7559	7433	7432
18.5	7302	7560	7434	7433
19	7303	7561	7435	7434
19.5	7303	7562	7436	7435
20	7304	7563	7437	7436
20.5	7305	7564	7438	7437
21	7306	7564	7439	7438
21.5	7307	7565	7440	7439
22	7309	7566	7441	7440
22.5	7309	7567	7442	7441
23	7311	7568	7443	7442
23.5	7311	7569	7444	7443
24	7313	7570	7445	7444
24.5	7314	7571	7446	7445
25	7315	7572	7447	7446
25.5	7316	7573	7448	7447
26	7318	7574	7449	7448
26.5	7319	7575	7450	7449
27	7320	7576	7451	7450
27.5	7321	7576	7452	7451
28	7322	7577	7453	7452
28.5	7323	7578	7454	7453
29	7324	7579	7455	7454
29.5	7324	7580	7456	7455
30	7326	7581	7457	7456
30.5	7327	7582	7458	7457
31	7328	7583	7459	7458
31.5	7329	7584	7460	7459
32	7330	7584	7461	7460
32.5	7332	7585	7462	7461
33	7332	7586	7463	7462
33.5	7333	7587	7464	7463
34	7334	7589	7465	7464
34.5	7335	7589	7466	7465
35	7336	7590	7467	7466
35.5	7337	7591	7468	7467
36	7338	7592	7469	7468
36.5	7339	7593	7470	7469
37	7340	7594	7471	7470
37.5	7341	7595	7472	7471
38	7342	7596	7473	7472
38.5	7344	7597	7474	7473
39	7345	7598	7475	7474
39.5	7345	7599	7476	7475
40	7346	7599	7477	7476
40.5	7347	7601	7478	7477
41	7348	7602	7479	7478
41.5	7349	7603	7480	7479
42	7350	7604	7481	7480
42.5	7351	7605	7482	7481
43	7352	7606	7483	7482
43.5	7353	7607	7484	7483
44	7354	7608	7485	7484
44.5	7355	7609	7486	7485
45	7356	7610	7487	7486
45.5	7357	7611	7488	7487
46	7358	7612	7489	7488
46.5	7359	7613	7490	7489
47	7360	7613	7491	7490
47.5	7361	7614	7491	7491
48	7362	7615	7492	7492
48.5	7364	7616	7494	7493
49	7364	7617	7495	7494
49.5	7366	7618	7495	7495
50	7367	7619	7496	7496
50.5	7368	7620	7497	7497
51	7369	7621	7498	7498
51.5	7370	7622	7499	7499
52	7371	7624	7500	7500
52.5	7372	7625	7501	7501
53	7373	7626	7502	7502
53.5	7374	7626	7503	7503
54	7374	7628	7504	7504
54.5	7376	7629	7505	7505
55	7377	7629	7506	7506
55.5	7378	7631	7507	7507
56	7379	7631	7508	7508
56.5	7380	7632	7509	7509
57	7382	7633	7510	7510
57.5	7383	7635	7511	7511
58	7384	7636	7512	7512
58.5	7385	7637	7513	7513
59	7386	7638	7514	7514
59.5	7388	7640	7515	7515
60	7388	7641	7515	7516
60.5	7390	7642	7516	7517
61	7391	7643	7518	7518
61.5	7391	7644	7519	7519
62	7393	7645	7520	7520
62.5	7394	7646	7521	7521
63	7395	7647	7522	7522
63.5	7395	7648	7523	7523
64	7396	7649	7524	7524
64.5	7397	7650	7525	7525
65	7398	7651	7526	7526
65.5	7399	7652	7527	7527
66	7400	7653	7528	7528
66.5	7401	7654	7529	7529
67	7402	7655	7530	7530
67.5	7403	7656	7530	7531
68	7404	7657	7531	7532
68.5	7406	7658	7533	7533
69	7407	7659	7534	7534
69.5	7407	7659	7534	7535
70	7409	7660	7535	7535
70.5	7410	7661	7536	7536
71	7411	7662	7537	7537
71.5	7412	7663	7538	7538
72	7413	7664	7539	7539
72.5	7414	7665	7540	7540
73	7415	7666	7541	7541
73.5	7415	7667	7542	7542
74	7416	7668	7543	7543
74.5	7417	7669	7544	7544
75	7418	7670	7545	7545
75.5	7419	7671	7546	7546
76	7420	7672	7547	7547
76.5	7422	7673	7548	7548
77	7423	7674	7549	7549
77.5	7424	7675	7550	7550
78	7425	7676	7551	7551
78.5	7426	7677	7552	7552
79	7427	7678	7553	7553
79.5	7428	7679	7554	7554
80	7429	7680	7555	7555
80.5	7430	7681	7556	7556
81	7431	7682	7557	7557
81.5	7432	7683	7558	7558
82	7433	7683	7559	7559
82.5	7434	7684	7560	7560
83	7435	7685	7561	7561
83.5	7436	7686	7562	7562
84	7437	7687	7563	7563
84.5	7438	7688	7564	7564
85	7439	7689	7565	7565
85.5	7440	7690	7565	7566
86	7441	7691	7566	7567
86.5	7442	7692	7567	7568
87	7443	7693	7568	7569
87.5	7444	7694	7569	7570
88	7445	7695	7570	7571
88.5	7446	7696	7571	7572
89	7447	7698	7572	7573
89.5	7448	7698	7573	7574
90	7449	7699	7574	7575
90.5	7450	7700	7575	7576
91	7451	7701	7576	7577
91.5	7452	7702	7577	7578
92	7454	7703	7578	7579
92.5	7455	7704	7579	7580
93	7456	7705	7580	7581
93.5	7457	7706	7581	7582
94	7458	7707	7582	7583
94.5	7458	7709	7583	7584
95	7459	7709	7584	7584
95.5	7460	7710	7585	7585
96	7461	7711	7586	7586
96.5	7462	7712	7587	7587
97	7463	7713	7588	7588
97.5	7464	7714	7589	7589
98	7465	7715	7590	7590
98.5	7465	7716	7591	7591
99	7466	7717	7592	7592
99.5	7467	7718	7593	7593
100	7468	7719	7594	7594
100.5	7469	7720	7595	7595
101	7471	7721	7596	7596
101.5	7472	7722	7597	7597
102	7473	7723	7598	7598
102.5	7474	7724	7599	7599
103	7476	7724	7600	7600
103.5	7477	7726	7601	7601
104	7478	7726	7602	7602
104.5	7478	7727	7603	7603
105	7480	7728	7604	7604
105.5	7481	7729	7605	7605
106	7482	7730	7606	7606
106.5	7483	7732	7607	7607
107	7484	7733	7608	7608
107.5	7485	7734	7608	7609
108	7486	7735	7609	7610
108.5	7487	7736	7610	7611
109	7488	7736	7611	7612
109.5	7489	7737	7612	7613
110	7490	7739	7613	7614
110.5	7490	7740	7614	7615
111	7491	7741	7615	7616
111.5	7492	7741	7616	7617
112	7493	7742	7617	7618
112.5	7494	7743	7618	7619
113	7495	7744	7619	7620
113.5	7496	7745	7620	7621
114	7497	7746	7621	7622
114.5	7498	7747	7622	7623
115	7499	7748	7623	7624
115.5	7500	7749	7624	7625
116	7502	7750	7625	7626
116.5	7503	7750	7626	7627
117	7504	7751	7627	7628
117.5	7505	7752	7628	7629
118	7507	7754	7629	7630
118.5	7508	7755	7631	7631
119	7509	7756	7632	7632
119.5	7510	7757	7633	7633
120	7512	7758	7634	7634
120.5	7513	7759	7634	7635
121	7514	7760	7635	7636
121.5	7515	7761	7636	7637
122	7516	7762	7637	7638
122.5	7517	7763	7638	7639
123	7517	7764	7639	7640
123.5	7518	7765	7640	7641
124	7519	7765	7641	7642
124.5	7520	7766	7642	7643
125	7521	7767	7643	7644
125.5	7522	7768	7644	7645
126	7523	7769	7645	7645
126.5	7524	7770	7646	7646
127	7525	7771	7647	7647
127.5	7526	7772	7648	7648
128	7527	7773	7649	7649
128.5	7528	7774	7650	7650
129	7529	7775	7651	7651
129.5	7530	7777	7652	7652
130	7531	7777	7653	7653
130.5	7532	7779	7654	7654
131	7533	7780	7655	7655
131.5	7534	7781	7656	7656
132	7535	7781	7657	7657
132.5	7535	7782	7657	7658
133	7537	7783	7659	7659
133.5	7538	7784	7660	7660
134	7539	7785	7661	7661
134.5	7540	7787	7661	7662
135	7541	7788	7662	7663
135.5	7542	7789	7663	7664
136	7543	7790	7664	7665
136.5	7544	7791	7665	7666
137	7545	7791	7666	7667
137.5	7546	7792	7667	7668
138	7547	7793	7668	7669
138.5	7548	7794	7669	7670
139	7549	7795	7670	7671
139.5	7550	7797	7671	7672
140	7551	7798	7672	7673
140.5	7552	7799	7673	7674
141	7553	7800	7674	7675
141.5	7554	7801	7675	7676
142	7555	7802	7676	7677
142.5	7556	7802	7677	7678
143	7558	7804	7678	7679
143.5	7558	7806	7680	7680
144	7560	7807	7681	7681
144.5	7561	7807	7682	7682
145	7562	7809	7683	7683
145.5	7563	7809	7684	7684
146	7564	7810	7685	7685
146.5	7565	7811	7685	7686
147	7566	7812	7686	7687
147.5	7567	7812	7687	7688
148	7568	7813	7688	7689
148.5	7569	7814	7689	7690
149	7570	7815	7690	7691
149.5	7571	7817	7691	7692
150	7572	7818	7692	7693
150.5	7573	7818	7693	7694
151	7574	7819	7694	7695
151.5	7576	7820	7695	7696
152	7577	7821	7696	7697
152.5	7578	7822	7698	7698
153	7579	7823	7699	7699
153.5	7580	7824	7700	7700
154	7581	7826	7701	7701
154.5	7582	7827	7702	7702
155	7583	7828	7703	7703
155.5	7584	7829	7704	7704
156	7584	7830	7705	7705
156.5	7586	7831	7706	7706
157	7587	7832	7707	7707
157.5	7587	7833	7708	7708
158	7588	7834	7709	7709
158.5	7589	7835	7710	7710
159	7590	7836	7711	7711
159.5	7591	7838	7712	7712
160	7592	7839	7713	7713
160.5	7594	7840	7714	7714
161	7595	7841	7715	7715
161.5	7596	7842	7716	7716
162	7597	7842	7717	7717
162.5	7597	7843	7718	7718
163	7598	7845	7719	7719
163.5	7599	7847	7720	7720
164	7600	7848	7721	7721
164.5	7600	7848	7722	7722
165	7601	7849	7723	7723
165.5	7602	7850	7724	7724
166	7603	7851	7725	7725
166.5	7604	7852	7726	7726
167	7605	7853	7727	7727
167.5	7606	7854	7728	7728
168	7607	7855	7729	7729
168.5	7608	7856	7730	7730
169	7609	7857	7731	7731
169.5	7610	7858	7732	7732
170	7611	7859	7733	7733
170.5	7613	7861	7734	7735
171	7614	7862	7735	7736
171.5	7614	7863	7736	7737
172	7616	7864	7737	7738
172.5	7617	7865	7738	7739
173	7617	7866	7739	7740
173.5	7619	7866	7740	7741
174	7619	7868	7741	7742
174.5	7620	7868	7742	7743
175	7621	7869	7743	7744
175.5	7622	7870	7744	7745
176	7623	7872	7745	7746
176.5	7624	7873	7746	7747
177	7625	7874	7747	7748
177.5	7627	7875	7748	7749
178	7627	7876	7749	7750
178.5	7628	7877	7750	7751
179	7630	7879	7751	7752
179.5	7630	7880	7752	7753
180	7631	7881	7753	7754
180.5	7632	7882	7754	7755
181	7633	7883	7755	7756
181.5	7634	7885	7756	7757
182	7635	7885	7757	7758
182.5	7636	7886	7758	7759
183	7637	7887	7759	7760
183.5	7638	7888	7760	7761
184	7639	7889	7761	7762
184.5	7640	7890	7762	7763
185	7641	7892	7763	7764
185.5	7642	7893	7764	7765
186	7643	7893	7765	7766
186.5	7643	7895	7766	7767
187	7644	7896	7767	7768
187.5	7645	7897	7768	7769
188	7646	7898	7769	7770
188.5	7647	7899	7770	7771
189	7648	7900	7771	7772
189.5	7649	7902	7772	7773
190	7651	7902	7774	7774
190.5	7652	7903	7775	7775
191	7652	7904	7776	7776
191.5	7653	7905	7777	7777
192	7654	7906	7778	7778
192.5	7655	7907	7779	7779
193	7656	7908	7780	7780
193.5	7657	7909	7781	7781
194	7658	7910	7782	7783
194.5	7660	7911	7783	7784
195	7661	7912	7784	7785
195.5	7661	7913	7785	7786
196	7662	7914	7786	7787
196.5	7663	7915	7787	7788
197	7664	7916	7788	7789
197.5	7665	7917	7789	7790
198	7666	7918	7790	7791
198.5	7667	7919	7791	7792
199	7667	7920	7792	7793
199.5	7668	7922	7794	7794
200	7669	7923	7795	7795
200.5	7670	7924	7796	7796
201	7671	7924	7797	7797
201.5	7672	7925	7798	7798
202	7673	7926	7799	7799
202.5	7674	7927	7800	7800
203	7675	7928	7801	7801
203.5	7676	7929	7802	7802
204	7677	7930	7803	7803
204.5	7678	7931	7804	7804
205	7678	7932	7805	7805
205.5	7679	7933	7806	7806
206	7680	7935	7807	7807
