lab ID,Age,Error,Depth,cc
UCID22771,6935,30,25,2
UCID22641,7030,60,50,2
UCID22642,7040,60,152.5,2
UCID22772,7150,30,152.5,2
UCID22773,7300,30,181,2
UCID22774,7315,30,206,2
