depth	min	max	median	mean
31	7438	7776	7613	7611
31.5	7441	7778	7616	7614
32	7445	7780	7618	7616
32.5	7448	7782	7621	7619
33	7451	7784	7623	7621
33.5	7454	7786	7626	7624
34	7457	7789	7628	7626
34.5	7460	7791	7630	7629
35	7462	7793	7633	7631
35.5	7465	7795	7635	7634
36	7467	7798	7638	7636
36.5	7471	7799	7640	7639
37	7473	7801	7642	7641
37.5	7478	7803	7645	7644
38	7481	7805	7647	7646
38.5	7483	7807	7650	7649
39	7486	7809	7652	7651
39.5	7489	7810	7655	7654
40	7492	7812	7657	7656
40.5	7494	7814	7660	7659
41	7497	7816	7663	7661
41.5	7500	7818	7665	7664
42	7502	7820	7668	7666
42.5	7506	7822	7670	7669
43	7509	7825	7673	7671
43.5	7511	7827	7675	7674
44	7515	7829	7678	7677
44.5	7518	7832	7680	7679
45	7521	7833	7683	7682
45.5	7523	7835	7686	7684
46	7525	7837	7688	7687
46.5	7529	7839	7691	7689
47	7534	7841	7693	7692
47.5	7536	7843	7695	7694
48	7540	7845	7697	7697
48.5	7544	7848	7700	7699
49	7548	7849	7702	7702
49.5	7551	7852	7705	7704
50	7554	7855	7708	7707
50.5	7555	7857	7710	7709
51	7558	7860	7712	7712
51.5	7560	7862	7715	7715
52	7564	7864	7717	7717
52.5	7566	7867	7720	7720
53	7570	7868	7722	7722
53.5	7572	7871	7725	7725
54	7574	7872	7728	7727
54.5	7576	7874	7730	7730
55	7578	7877	7733	7732
55.5	7580	7880	7735	7735
56	7583	7883	7738	7737
56.5	7587	7884	7740	7740
57	7590	7886	7743	7742
57.5	7592	7889	7745	7745
58	7595	7891	7747	7747
58.5	7598	7893	7750	7750
59	7600	7895	7752	7752
59.5	7603	7897	7755	7755
60	7605	7900	7757	7757
60.5	7607	7903	7760	7760
61	7610	7906	7762	7762
61.5	7613	7908	7765	7765
62	7615	7909	7767	7767
62.5	7617	7911	7770	7770
63	7620	7913	7772	7772
63.5	7622	7916	7775	7775
64	7626	7918	7778	7777
64.5	7628	7921	7780	7780
65	7630	7924	7783	7782
65.5	7633	7926	7785	7785
66	7635	7929	7788	7787
66.5	7638	7931	7791	7790
67	7641	7933	7793	7792
67.5	7644	7936	7796	7795
68	7648	7938	7798	7797
68.5	7650	7941	7800	7799
69	7653	7943	7803	7802
69.5	7656	7945	7806	7804
70	7658	7948	7808	7807
70.5	7661	7950	7811	7809
71	7662	7953	7813	7812
71.5	7666	7954	7816	7814
72	7670	7955	7818	7817
72.5	7673	7958	7821	7820
73	7676	7960	7824	7822
73.5	7677	7962	7826	7825
74	7680	7964	7828	7827
74.5	7683	7966	7831	7830
75	7686	7969	7833	7832
75.5	7688	7971	7836	7835
76	7690	7974	7838	7837
76.5	7693	7976	7841	7840
77	7695	7978	7844	7842
77.5	7698	7981	7846	7845
78	7701	7983	7849	7847
78.5	7704	7985	7851	7850
79	7707	7988	7854	7852
79.5	7709	7991	7856	7855
80	7711	7994	7859	7857
80.5	7713	7998	7861	7860
81	7715	8001	7864	7863
81.5	7718	8003	7866	7865
82	7721	8005	7869	7867
82.5	7724	8008	7871	7870
83	7726	8010	7874	7872
83.5	7729	8012	7876	7875
84	7731	8015	7879	7877
84.5	7733	8018	7881	7880
85	7735	8022	7884	7882
85.5	7737	8026	7886	7885
86	7739	8030	7888	7887
86.5	7741	8032	7891	7890
87	7744	8034	7894	7892
87.5	7746	8037	7896	7895
88	7748	8040	7898	7897
88.5	7750	8043	7900	7900
89	7753	8047	7903	7902
89.5	7755	8050	7906	7905
90	7757	8054	7908	7907
