lab ID,Age,Error,Depth,cc
UCID22776,6740,30,5,2
UCID22796,6720,60,5,2
UCID22803,6820,60,5,2
UCID22804,6850,60,5,2
UCID22659,6790,60,25,2
UCID23431,7285,20,95,2
