depth	min	max	median	mean
15	7244	7617	7435	7434
15.5	7247	7619	7437	7437
16	7250	7621	7440	7439
16.5	7253	7623	7442	7442
17	7256	7625	7445	7445
17.5	7259	7627	7448	7447
18	7262	7628	7450	7450
18.5	7264	7629	7453	7452
19	7269	7632	7455	7455
19.5	7272	7634	7458	7457
20	7275	7637	7460	7460
20.5	7278	7639	7463	7462
21	7281	7641	7465	7465
21.5	7284	7644	7468	7467
22	7287	7646	7470	7470
22.5	7291	7648	7473	7472
23	7293	7650	7475	7475
23.5	7296	7653	7478	7477
24	7298	7655	7480	7480
24.5	7300	7657	7483	7482
25	7303	7659	7485	7485
25.5	7306	7662	7488	7487
26	7310	7664	7490	7490
26.5	7314	7667	7493	7492
27	7316	7669	7495	7495
27.5	7321	7671	7497	7497
28	7323	7672	7500	7500
28.5	7325	7674	7502	7502
29	7328	7676	7505	7505
29.5	7331	7679	7508	7507
30	7334	7683	7510	7510
30.5	7338	7684	7513	7512
31	7342	7687	7515	7515
31.5	7346	7689	7518	7517
32	7349	7691	7520	7520
32.5	7351	7693	7523	7522
33	7354	7694	7525	7525
33.5	7356	7697	7527	7527
34	7359	7700	7530	7530
34.5	7361	7703	7532	7532
35	7364	7707	7535	7535
35.5	7367	7709	7537	7538
36	7370	7711	7540	7540
36.5	7372	7713	7542	7543
37	7375	7716	7545	7545
37.5	7377	7718	7547	7548
38	7380	7721	7550	7550
38.5	7383	7723	7552	7553
39	7385	7725	7555	7555
39.5	7387	7728	7557	7558
40	7390	7731	7560	7560
40.5	7392	7733	7562	7563
41	7395	7734	7565	7565
41.5	7398	7737	7567	7567
42	7402	7739	7569	7570
42.5	7405	7740	7572	7572
43	7408	7743	7574	7575
43.5	7411	7747	7577	7577
44	7414	7750	7579	7580
44.5	7416	7753	7582	7582
45	7418	7756	7584	7585
45.5	7421	7759	7587	7587
46	7423	7761	7589	7590
46.5	7426	7763	7592	7592
47	7428	7765	7594	7595
47.5	7430	7767	7597	7597
48	7433	7769	7599	7600
48.5	7435	7772	7601	7602
49	7438	7774	7604	7604
49.5	7440	7777	7606	7607
50	7443	7778	7608	7609
50.5	7446	7781	7611	7612
51	7448	7784	7613	7614
51.5	7452	7786	7616	7617
52	7453	7789	7618	7619
52.5	7457	7791	7620	7622
53	7459	7793	7623	7624
53.5	7461	7797	7625	7627
54	7464	7799	7628	7629
54.5	7467	7802	7630	7631
55	7469	7805	7632	7634
55.5	7473	7806	7635	7636
56	7476	7808	7638	7639
56.5	7479	7810	7640	7641
57	7481	7812	7642	7644
57.5	7485	7814	7644	7646
58	7488	7816	7647	7649
58.5	7490	7819	7650	7651
59	7492	7821	7652	7654
59.5	7495	7824	7655	7656
60	7496	7826	7658	7659
60.5	7501	7828	7660	7661
61	7504	7830	7662	7664
61.5	7507	7832	7665	7666
62	7511	7835	7667	7669
62.5	7513	7836	7670	7671
63	7515	7840	7672	7674
63.5	7519	7842	7674	7676
64	7521	7845	7677	7679
64.5	7523	7848	7679	7681
65	7525	7851	7682	7684
65.5	7527	7853	7684	7686
66	7530	7855	7686	7689
66.5	7533	7857	7689	7691
67	7535	7859	7692	7694
67.5	7537	7861	7694	7696
68	7540	7864	7697	7699
68.5	7542	7867	7700	7701
69	7545	7870	7702	7704
69.5	7547	7873	7704	7706
70	7549	7875	7707	7709
70.5	7552	7878	7709	7711
71	7554	7880	7711	7713
71.5	7556	7882	7714	7716
72	7559	7884	7717	7718
72.5	7561	7887	7719	7721
73	7564	7889	7722	7723
73.5	7566	7892	7724	7726
74	7568	7894	7727	7728
74.5	7570	7897	7729	7731
75	7572	7901	7731	7733
75.5	7575	7903	7734	7736
76	7577	7905	7736	7738
76.5	7579	7907	7739	7741
77	7582	7909	7741	7743
77.5	7585	7911	7744	7745
78	7588	7913	7746	7748
78.5	7591	7916	7749	7750
79	7593	7920	7751	7753
79.5	7595	7923	7754	7755
80	7597	7927	7756	7758
80.5	7599	7928	7759	7760
81	7601	7931	7761	7763
81.5	7604	7933	7764	7765
82	7607	7936	7766	7768
82.5	7610	7938	7768	7770
83	7612	7941	7770	7773
83.5	7614	7945	7773	7775
84	7616	7947	7775	7778
84.5	7618	7950	7777	7780
85	7620	7953	7780	7783
85.5	7622	7956	7782	7785
86	7625	7957	7786	7788
86.5	7627	7961	7788	7790
87	7629	7963	7791	7793
87.5	7632	7967	7793	7795
88	7634	7970	7795	7798
88.5	7636	7974	7798	7800
89	7637	7977	7801	7803
89.5	7640	7981	7803	7806
90	7642	7985	7805	7808
90.5	7644	7989	7808	7811
91	7647	7991	7810	7813
91.5	7650	7994	7813	7816
92	7652	7998	7815	7818
92.5	7654	8000	7818	7821
93	7655	8004	7820	7823
93.5	7657	8007	7823	7826
94	7659	8010	7825	7828
94.5	7662	8014	7828	7831
95	7663	8017	7830	7833
95.5	7666	8019	7832	7836
96	7669	8023	7835	7838
96.5	7671	8026	7838	7841
97	7673	8029	7840	7843
97.5	7676	8032	7843	7846
98	7678	8035	7846	7848
98.5	7680	8038	7849	7851
99	7682	8041	7851	7853
99.5	7684	8045	7854	7856
100	7685	8049	7856	7858
100.5	7687	8052	7858	7861
101	7690	8055	7861	7863
101.5	7693	8057	7864	7866
102	7695	8060	7866	7869
102.5	7697	8063	7869	7871
103	7699	8066	7871	7874
103.5	7700	8069	7874	7876
104	7702	8073	7876	7879
104.5	7704	8075	7879	7881
105	7705	8078	7881	7884
105.5	7708	8081	7884	7886
106	7710	8084	7886	7889
106.5	7712	8086	7888	7891
107	7714	8088	7891	7894
107.5	7717	8092	7894	7896
108	7718	8095	7897	7899
108.5	7721	8098	7899	7901
109	7722	8101	7902	7904
109.5	7724	8103	7904	7906
110	7725	8106	7906	7909
110.5	7728	8109	7909	7911
111	7731	8112	7912	7914
111.5	7735	8115	7914	7916
112	7738	8118	7916	7919
112.5	7740	8121	7919	7921
113	7742	8123	7921	7924
113.5	7744	8127	7924	7927
114	7746	8130	7927	7929
114.5	7747	8133	7929	7932
115	7749	8137	7931	7934
115.5	7751	8140	7934	7937
116	7753	8143	7936	7939
116.5	7756	8146	7939	7942
117	7758	8147	7942	7944
117.5	7760	8150	7944	7947
118	7762	8153	7947	7949
118.5	7763	8156	7949	7952
119	7765	8159	7951	7954
119.5	7766	8161	7953	7957
120	7768	8164	7956	7959
