depth	min	max	median	mean
1	7257	7662	7448	7451
1.5	7260	7665	7451	7453
2	7262	7667	7453	7456
2.5	7264	7669	7456	7458
3	7266	7672	7458	7461
3.5	7269	7673	7461	7463
4	7272	7676	7463	7466
4.5	7274	7678	7466	7468
5	7276	7681	7468	7471
5.5	7279	7684	7471	7473
6	7281	7686	7473	7476
6.5	7284	7687	7476	7478
7	7286	7689	7478	7481
7.5	7289	7692	7481	7483
8	7292	7694	7484	7486
8.5	7295	7696	7486	7488
9	7298	7698	7489	7491
9.5	7301	7702	7491	7493
10	7304	7704	7493	7496
10.5	7307	7707	7496	7498
11	7309	7710	7498	7501
11.5	7311	7713	7501	7503
12	7313	7715	7503	7506
12.5	7315	7718	7506	7508
13	7317	7720	7509	7511
13.5	7319	7723	7511	7514
14	7322	7726	7514	7516
14.5	7324	7730	7517	7519
15	7327	7733	7519	7521
15.5	7331	7735	7521	7524
16	7332	7738	7524	7526
16.5	7336	7741	7527	7529
17	7338	7744	7529	7531
17.5	7341	7746	7532	7534
18	7343	7748	7535	7536
18.5	7346	7751	7537	7539
19	7348	7754	7540	7541
19.5	7350	7758	7543	7544
20	7353	7759	7545	7546
20.5	7356	7762	7548	7549
21	7359	7764	7550	7551
21.5	7362	7767	7553	7554
22	7365	7769	7555	7556
22.5	7368	7772	7558	7559
23	7369	7774	7560	7561
23.5	7372	7778	7563	7564
24	7375	7780	7565	7567
24.5	7377	7782	7567	7569
25	7379	7785	7570	7572
25.5	7382	7788	7572	7574
26	7385	7790	7575	7577
26.5	7387	7792	7578	7579
27	7389	7794	7580	7582
27.5	7392	7797	7583	7584
28	7395	7799	7586	7587
28.5	7398	7801	7588	7589
29	7401	7804	7590	7592
29.5	7404	7806	7593	7594
30	7405	7809	7596	7597
30.5	7408	7812	7598	7599
31	7410	7814	7600	7602
31.5	7413	7816	7603	7604
32	7416	7818	7605	7607
32.5	7418	7819	7608	7609
33	7421	7822	7610	7612
33.5	7423	7826	7612	7614
34	7426	7828	7615	7617
34.5	7428	7830	7617	7620
35	7430	7833	7620	7622
