Core,DepthConsolidated,GrowthForm,Genus,Weight
SM-06A,90,CB,Porites,47.47
SM-06A,95,CB,Porites,42
SM-06A,95,CF,Astreopora,4.19
SM-06A,95,CM,Unknown,6.47
SM-06A,95,CM,Unknown,1.19
SM-06A,95,CM,Unknown,3.56
SM-06A,100,CB,Porites,7.75
SM-06A,100,CB,Porites,6.61
SM-06A,100,CB,Unknown,2.35
SM-06A,100,CB,Unknown,0.85
SM-06A,110,CB,Porites,55.51
SM-06A,110,CMR,Fungia,1.99
SM-06A,110,CB,Porites,3.78
SM-06A,110,CF,Astreopora,0.43
SM-06A,115,CB,Porites,20.83
SM-06A,115,CB,Porites,0.7
SM-06A,115,CF,Astreopora,1.57
SM-06A,115,CF,Astreopora,3.31
SM-06A,120,CB,Porites,25.97
SM-06A,120,CF,Turbinaria,9.08
SM-06A,120,CMR,Fungia,4.58
SM-06A,125,CB,Porites,17.55
SM-06A,130,CB,Porites,19.02
SM-06A,130,CB,Porites,2.23
SM-06A,130,CF,Turbinaria,6.23
SM-06A,130,CF,Turbinaria,4.01
SM-06A,130,CS,Euphyllia,13.28
SM-06A,130,CMR,Fungia,2.71
SM-06A,140,CM,Goniopora,330
SM-06A,145,CM,Goniopora,63.17
SM-06A,145,CM,Goniopora,9.02
SM-06A,145,CM,Goniopora,6.26
SM-06A,150,CB,Porites,1.24
SM-06A,150,CM,Goniopora,49.29
SM-06A,150,CM,Goniopora,7.61
SM-06A,150,CM,Goniopora,
SM-06A,155,CM,Goniopora,15.31
SM-06A,155,CM,Goniopora,1.48
SM-06A,155,CM,Goniopora,2.18
SM-06A,155,CM,Goniopora,3.52
SM-06A,155,CM,Goniopora,1.8
SM-06A,160,CS,Goniopora,2.77
SM-06A,160,CS,Goniopora,11.2
SM-06A,160,CB,Goniopora,2.82
SM-06A,165,CMR,Fungia,3.16
SM-06A,165,CMR,Fungia,1.41
SM-06A,165,CS,Goniopora,96.61
SM-06A,165,CS,Goniopora,3.48
SM-06A,165,CS,Goniopora,7.37
SM-06A,165,CS,Goniopora,9.64
SM-06A,170,CS,Goniopora,149.27
SM-06A,170,CS,Goniopora,13.03
SM-06A,170,CS,Goniopora,10.11
SM-06A,170,CS,Goniopora,9.88
SM-06A,175,CB,Goniopora,11.01
SM-06A,175,CS,Goniopora,7.33
SM-06A,180,CS,Goniopora,96.24
SM-06A,180,CS,Goniopora,6.1
SM-06A,185,CS,Goniopora,208
SM-06A,190,CS,Goniopora,52.83
SM-06A,190,CS,Goniopora,4.83
SM-06A,195,CS,Goniopora,107.06
SM-06A,195,CS,Goniopora,22.35
SM-06A,195,CS,Goniopora,11.51
SM-06A,200,CS,Goniopora,14.35
SM-06A,205,CS,Goniopora,195.98
SM-06A,210,CS,Goniopora,127.1
SM-06A,210,CS,Goniopora,12
SM-06A,215,CS,Goniopora,27.75
SM-06A,215,CS,Goniopora,11.55
SM-06A,215,CS,Goniopora,14.11
SM-06A,220,CS,Goniopora,126.2
SM-06A,220,CS,Goniopora,41.31
SM-06A,220,CS,Goniopora,6.34
SM-06A,220,CS,Goniopora,34.01
SM-06A,220,CS,Goniopora,11.08
SM-06A,225,CB,Goniopora,5.65
SM-06A,225,CB,Goniopora,8.01
SM-06A,225,CS,Goniopora,11.12
SM-06A,225,CS,Goniopora,5.23
SM-06A,225,CS,Goniopora,5.55
SM-06A,225,CS,Goniopora,3.32
SM-06A,225,CS,Goniopora,2.98
SM-06A,230,CS,Goniopora,89.94
SM-06A,230,CS,Goniopora,18.29
SM-06A,230,CS,Goniopora,13.13
SM-06A,235,CS,Goniopora,137.84
SM-06A,235,CS,Goniopora,3.44
SM-06A,235,CS,Goniopora,8.46
SM-06A,240,CS,Goniopora,9.53
SM-06A,240,CS,Goniopora,10.42
SM-06A,240,CS,Goniopora,6.6
SM-06A,240,CS,Goniopora,7.97
SM-06A,245,CS,Goniopora,45.63
SM-06A,245,CS,Goniopora,22.34
SM-06A,245,CS,Goniopora,4.45
SM-06A,245,CS,Goniopora,3.25
SM-06A,250,CB,Goniopora,34.89
SM-06A,250,CB,Goniopora,6.58
SM-06A,250,CS,Goniopora,3.75
SM-06A,255,CS,Goniopora,8.56
SM-06A,255,CB,Goniopora,3.02
SM-06A,255,CB,Goniopora,3.13
SM-06A,260,CS,Goniopora,148.34
SM-06A,260,CF,Astreopora,8.02
SM-06A,260,CS,Unknown,3.54
KS-01A,20,CB,Heliopora,3.99
KS-01A,20,CB,Heliopora,3.23
KS-01A,25,CS,Unknown,5.73
KS-01A,40,CB,Heliopora,2.33
KS-01A,25,CMR,Fungia,5.49
KS-01A,25,CB,Heliopora,32.79
KS-01A,30,CM,Porites,28.43
KS-01A,30,CF,Merulina,0.58
KS-01A,30,CB,Tubastraea,0.59
KS-01A,30,CS,Goniopora,7.06
KS-01A,30,CS,Goniopora,4.96
KS-01A,30,CB,Heliopora,5.36
KS-01A,30,CM,Porites,21.61
KS-01A,30,CM,Pseudosiderastrea,5.95
KS-01A,35,CM,Pseudosiderastrea,13.54
KS-01A,35,CM,Goniastrea,45.67
KS-01A,40,CM,Goniastrea,44.76
KS-01A,40,CM,Goniastrea,1.79
KS-01A,40,CM,Goniastrea,89.285
KS-01A,40,CM,Unknown,1.745
KS-01A,45,CM,Goniastrea,89.285
KS-01A,45,CM,Unknown,1.745
KS-02A,40,CB,Unknown,1.08
KS-02A,40,CM,Porites,6.25
KS-02A,40,CM,Porites,2.75
KS-02A,50,CS,Unknown,3.89
KS-02A,40,CM,Porites,19.13
KS-02A,45,CM,Porites,22.14
KS-02A,50,CM,Porites,22.14
KS-03A,35,CM,Porites,8.08
KS-03A,35,CS,Goniopora,10.26
KS-03A,40,CS,Goniopora,10.52
KS-03A,40,CS,Porites,4.42
KS-03A,40,CS,Psammocora,2.15
KS-03A,40,CF,Pavona,5.94
KS-03A,40,CS,Unknown,8.24
KS-03A,45,CF,Pavona,20.16
KS-03A,50,CF,Pavona,12.93
KS-03A,50,CF,Pavona,6.04
KS-03A,50,CM,Porites,2.18
KS-03A,55,CF,Pavona,9.96
KS-03A,55,CF,Pavona,19.54
KS-03A,60,CF,Pavona,12.75
KS-03A,65,CMR,Fungia,11.82
KS-03A,70,CF,Pavona,16.54
KS-03A,70,CF,Pavona,21.42
KS-03A,75,CF,Pavona,6.24
KS-03A,75,CF,Pavona,4.7
KS-03A,75,CF,Pavona,17.46
KS-03A,80,CF,Pavona,25.76
KS-03A,85,CM,Dipsastraea,9.81
KS-03A,85,CF,Pavona,5.71
KS-03A,90,CM,Dipsastraea,9.22
KS-03A,30,CM,Porites,48.24
KS-03A,30,CM,Porites,12.85
KS-03A,80,CM,Platygyra,14.26
KS-03A,85,CM,Platygyra,26.31
KS-03A,85,CM,Dipsastraea,24.84
KS-03A,85,CF,Pavona,3.32
KS-03A,90,CM,Dipsastraea,16.12
KS-03A,90,CM,Unknown,29.58
SL-01A,5,CF,Pachyseris,4.46
SL-01A,10,CS,Euphyllia,4.3
SL-01A,10,CS,Euphyllia,25.53
SL-01A,10,CS,Euphyllia,10.92
SL-01A,15,CS,Unknown,3.21
SL-01A,15,CS,Euphyllia,2
SL-01A,15,CS,Euphyllia,15.27
SL-01A,20,CS,Euphyllia,5.83
SL-01A,20,CS,Euphyllia,5.56
SL-01A,20,CS,Euphyllia,9.17
SL-01A,25,CS,Euphyllia,18.47
SL-01A,25,CS,Euphyllia,5.43
SL-01A,30,CS,Euphyllia,9.23
SL-01A,30,CS,Euphyllia,20.78
SL-01A,30,CS,Euphyllia,9.4
SL-01A,30,CS,Euphyllia,5.65
SL-01A,30,CS,Euphyllia,11.65
SL-01A,35,CS,Euphyllia,13.47
SL-01A,35,CS,Euphyllia,19.61
SL-01A,35,CS,Euphyllia,17.89
SL-01A,40,CS,Euphyllia,15.86
SL-01A,40,CS,Euphyllia,10.08
SL-01A,40,CS,Euphyllia,20.85
SL-01A,40,CS,Euphyllia,10.28
SL-01A,40,CS,Euphyllia,45.41
SL-01A,45,CS,Euphyllia,47.55
SL-01A,50,CS,Euphyllia,9.39
SL-01A,50,CS,Euphyllia,11.34
SL-01A,50,CS,Euphyllia,38.99
SL-01A,50,CS,Euphyllia,14.6
SL-01A,55,CS,Euphyllia,19.47
SL-01A,55,CS,Euphyllia,47.09
SL-01A,60,CS,Euphyllia,57.62
SL-01A,60,CS,Euphyllia,38.26
SL-01A,65,CS,Euphyllia,43.51
SL-01A,70,CS,Euphyllia,9.08
SL-01A,70,CS,Euphyllia,12.26
SL-01A,70,CS,Euphyllia,23
SL-01A,75,CS,Euphyllia,10.42
SL-01A,80,CS,Euphyllia,12.81
SL-01A,80,CS,Euphyllia,17.21
SL-01A,80,CS,Euphyllia,10.02
SL-01A,95,CS,Euphyllia,6.54
SL-02A,10,CF,Pachyseris,2.28
SL-02A,10,CS,Goniopora,31.85
SL-02A,10,CS,Unknown,6.15
SL-02A,15,CS,Unknown,22.75
SL-02A,15,CS,Goniopora,34.25
SL-02A,20,CS,Goniopora,45.46
SL-02A,20,CS,Porites,4.45
SL-02A,25,CS,Goniopora,10
SL-02A,25,CS,Goniopora,44.66
SL-02A,25,CS,Goniopora,36.61
SL-02A,25,CS,Unknown,3.17
SL-02A,30,CS,Goniopora,47.81
SL-02A,30,CS,Unknown,1.44
SL-02A,30,CS,Goniopora,29.02
SL-02A,30,CS,Unknown,2.55
SL-02A,35,CS,Goniopora,81.95
SL-02A,40,CS,Goniopora,55.73
SL-02A,40,CS,Goniopora,48.98
SL-02A,45,CS,Goniopora,26.71
SL-02A,45,CS,Porites,15.61
SL-02A,45,CS,Euphyllia,9.77
SL-02A,50,CS,Unknown,2.71
SL-02A,55,CS,Euphyllia,33.06
SL-02A,55,CB,Goniopora,2.18
SL-02A,55,CB,Heliopora,6.63
SL-02A,55,CS,Euphyllia,36.78
SL-02A,60,CS,Euphyllia,20.26
SL-02A,60,CS,Unknown,2.73
SL-02A,65,CS,Euphyllia,34.1
SL-02A,65,CB,Heliopora,8.44
SL-02A,70,CS,Euphyllia,1.28
SL-02A,70,CB,Heliopora,8.2
SL-02A,95,CB,Montipora,31.64
SL-02A,95,CF,Echinophyllia,3.47
SL-02A,100,CB,Montipora,67.55
SL-02A,105,CB,Montipora,13.68
SL-02A,105,CB,Montipora,14.58
SL-02A,110,CB,Montipora,12.33
SL-02A,110,CB,Montipora,28.37
SL-02A,110,CB,Montipora,11.53
SL-02A,115,CB,Montipora,1.56
SL-02A,115,CB,Montipora,6.84
SL-02A,115,CB,Montipora,21.56
SL-02A,120,CB,Montipora,8.71
SL-02A,120,CB,Montipora,12.8
SL-02A,125,CB,Montipora,6.8
SL-02A,125,CB,Montipora,6.04
SL-02A,130,CB,Montipora,20.9
SL-02A,130,CB,Montipora,6.39
SL-02A,135,CB,Montipora,7.67
SL-02A,140,CB,Montipora,2.78
SL-02A,110,CB,Montipora,13.45
SL-02A,115,CB,Montipora,22.41
SL-02A,45,CS,Goniopora,55.18
SL-02A,50,CS,Euphyllia,45.65
SL-02A,55,CS,Euphyllia,22.83
SL-03A,15,CM,Unknown,27.31
SL-03A,20,CS,Porites,4.11
SL-03A,20,CS,Euphyllia,2.21
SL-03A,20,CS,Euphyllia,16.27
SL-03A,25,CS,Euphyllia,27.39
SL-03A,25,CS,Euphyllia,12.97
SL-03A,25,CB,Unknown,4.18
SL-03A,25,CS,Unknown,8.62
SL-03A,30,CS,Euphyllia,9.93
SL-03A,30,CS,Unknown,4.68
SL-03A,30,CF,Echinophyllia,25.59
SL-03A,30,CB,Unknown,6.71
SL-03A,35,CB,Unknown,3.8
SL-03A,35,CS,Euphyllia,6.54
SL-03A,35,CS,Unknown,2.07
SL-03A,40,CS,Unknown,7.03
SL-03A,40,CS,Euphyllia,1.26
SL-03A,40,CS,Euphyllia,4.57
SL-03A,40,CB,Unknown,7.08
SL-03A,40,CS,Unknown,3.36
SL-03A,40,CS,Euphyllia,6.7
SL-03A,40,CS,Unknown,0.52
SL-03A,45,CS,Unknown,4.9
SL-03A,45,CS,Euphyllia,16.74
SL-03A,45,CS,Euphyllia,11.55
SL-03A,50,CS,Euphyllia,19.81
SL-03A,55,CS,Euphyllia,5.25
SL-03A,55,CS,Goniopora,14.42
SL-03A,55,CS,Goniopora,18.69
SL-03A,65,CS,Goniopora,4.07
SL-03A,70,CS,Goniopora,35.83
SL-03A,35,CS,Euphyllia,19.16
SL-03A,40,CS,Euphyllia,9.58
SL-03A,45,CS,Euphyllia,12.73
SL-03A,50,CS,Euphyllia,12.73
SL-03A,50,CS,Euphyllia,12.13
SL-03A,55,CS,Euphyllia,3.47
SL-03A,60,CS,Goniopora,74.69
SL-03A,65,CS,Goniopora,26.45
