Code,Location,Site,Day,Month,Year,Depth,Replicate,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
SE-SW-D3-2016-8-22-T4,Pulau Semakau,SE-SW,22,8,2016,3,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,10,0,13,50,69,0,0,0,0,0,0,0,0,10,0,0,0,67,0,0,0,15,0,0,0,35,79,140,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536
SE-SW-D3-2016-8-22-T5,Pulau Semakau,SE-SW,22,8,2016,3,5,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,15,0,8,70,44,0,0,25,0,0,0,0,0,20,0,5,0,46,0,0,0,33,0,0,0,42,5,139,0,7,0,0,0,0,24,0,11,0,0,0,0,0,0,0,0,512
SE-SW-D2.5-2019-1-23-T1,Pulau Semakau,SE-SW,23,1,2019,2.5,1,0,0,0,0,0,0,0,12,0,10,218,11,0,0,0,17,11,0,75,0,0,0,0,0,0,0,0,0,0,0,7,0,76,0,0,0,0,0,0,0,13,0,24,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
SE-SW-D2.5-2019-1-23-T2,Pulau Semakau,SE-SW,23,1,2019,2.5,2,0,0,0,25,0,0,0,0,0,0,67,23,0,0,0,19,0,0,8,132,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,27,0,0,0,20,0,128,0,12,0,0,0,0,0,0,48,0,0,0,0,0,0,55,0,586
SE-SW-D2.5-2019-1-23-T3,Pulau Semakau,SE-SW,23,1,2019,2.5,3,0,0,0,63,0,0,0,0,0,0,0,30,0,0,10,44,12,0,41,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,30,0,34,80,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395
SE-SW-D2.5-2019-1-23-T4,Pulau Semakau,SE-SW,23,1,2019,2.5,4,0,0,0,42,29,0,0,0,0,0,247,0,0,51,0,41,0,0,99,0,0,0,10,0,0,0,0,0,0,0,9,0,50,0,0,0,0,0,0,0,0,0,9,0,132,0,0,0,0,63,0,47,0,0,0,0,0,0,159,0,988
SE-SW-D2.5-2019-1-23-T5,Pulau Semakau,SE-SW,23,1,2019,2.5,5,0,0,0,0,0,0,0,0,0,11,147,21,0,117,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,50,0,42,0,102,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,690
SE-SW-D0-1992-3-23-T1,Pulau Semakau,SE-SW,23,3,1992,0,1,0,0,0,0,0,0,0,15,0,0,162,4,0,0,70,11,10,0,0,63,0,0,0,20,0,0,0,0,0,0,134,0,272,0,0,8,0,0,12,107,106,2,206,0,56,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1282
SE-SW-D0-1992-3-23-T2,Pulau Semakau,SE-SW,23,3,1992,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,60,0,0,0,11,0,0,0,0,0,0,47,0,186,0,0,42,0,0,0,12,291,0,351,0,21,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1043
SE-SW-D0-1992-3-23-T3,Pulau Semakau,SE-SW,23,3,1992,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,118,71,33,13,21,0,0,0,0,34,0,0,0,0,0,0,0,0,20,0,0,32,0,0,0,0,167,0,167,0,73,51,0,0,0,20,0,409,0,0,0,0,0,0,0,0,1263
