Code,Location,Site,Day,Month,Year,Depth,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
HP-E-D3-2016-10-10,Hantu Patch,HP-E,10,10,2016,3,0,0,0,29.2,0,0,0,0,0,19.6,0,16.4,0,20.8,0,6.2,0,7,65.6,23,0,0,11.4,12,0,0,0,0,1,0,17.6,0,134.6,0,0,4.2,10,0,0,3.4,0,13,66.2,0,10.6,9.2,0.8,0,0,15.6,0,7.4,1,0,0,0,0,0,10,0,515.8
HP-E-D3-2018-10-11,Hantu Patch,HP-E,11,10,2018,3,0,7.2,0,0,0,0,0,5.2,0,8.4,5.2,19.6,3.2,61.2,0,0,11,55.6,20.4,4,0,0,3,15.4,0,0,0,0,5.8,0,2,0,71.8,0,0,0,11.8,0,0,3.8,12.8,0,64,0,10,13.8,0,0,4.2,21.8,0,0,0,0,0,0,0,0,0,0,441.2
HP-E-D6-1988-8-12,Hantu Patch,HP-E,12,8,1988,6,0,0,0,0,0,0,0,7.5,2.5,0,0,10,5,0,2.5,5,10,0,30,0,0,0,0,0,0,0,0,27.5,15,0,0,0,7.5,0,0,0,0,0,0,0,15,0,5,0,0,28.75,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,189.75
HP-E-D3-1986-5-16,Hantu Patch,HP-E,16,5,1986,3,0,0,0,3,0,0,0,0,0,5.6,0,16,67,102,8,20,15.2,39.8,19.4,57,0,0,0,50.4,0,0,0,0,3,3.6,7,0,251.2,0,0,21.8,6,0,0,16,102.4,78,189,54.2,68.4,3,0,0,0,4,0,24,0,0,0,0,0,0,5,0,1240
HP-E-D0-1989-3-20,Hantu Patch,HP-E,20,3,1989,0,0,0,0,4,0,0,0,1,0,18.2,23,18.2,1.4,76,0,0,28,10.2,51.8,32.8,0,0,0,15.6,0,0,0,0,10.8,0,3,0,117.2,0,0,47,0,0,0,12.6,3,120.6,86.8,0,3.2,114.4,0,7.2,0,9.2,0,9.8,0,0,0,0,0,0,0,0,825
HP-E-D3-1992-2-25,Hantu Patch,HP-E,25,2,1992,3,0,0,0,16,0,0,0,1.8,1.2,12,0,42.2,21,60,4.4,2.2,10.2,5.4,11.8,15,0,0,0,0,0,0,0,0,11.6,0,0,0,33,0,0,15.4,5.4,0,0,21.6,33,0,119.4,0,8.6,88.6,0,2,0,1.8,0,9,0,0,7.6,0,0,0,0,0,560.2
HP-E-D6-1992-2-25,Hantu Patch,HP-E,25,2,1992,6,0,0,0,0,0,0,0,3.2,0,2.4,0,22,20.8,4.2,0,14.6,8.8,0,1.8,0,2.4,0,0,0,0,0,0,0,6,0,0,0,36.8,0,0,0,11.4,0,0,18.4,27.8,9,98.2,0,0,21,0,4,0,7.4,0,8.4,0,0,0,0,0,0,0,0,328.6
HP-E-D10-1992-2-25,Hantu Patch,HP-E,25,2,1992,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666667
HP-E-D0-1992-2-26,Hantu Patch,HP-E,26,2,1992,0,0,0,0,0,0,0,0,0,0,32.8,39.2,20.4,0,14.2,0,29.2,9.8,9.4,23.8,0,0,0,0,3.4,0,0,0,0,21.4,0,0,0,83.6,0,0,13.4,3.4,0,0,71.2,11,98.4,92.2,0,10,139.4,0,0,0,11.8,0,0,0,0,7.8,0,0,0,0,0,745.8
HP-W-D3-2016-12-9,Hantu Patch,HP-W,9,12,2016,3,0,2.2,0,13.6,0,0,0,2,0,29.2,0.6,13.8,46.8,0,0,18.8,0,8,7.2,10,0,0,0,2.4,0,0,0,0,5.4,0,18.4,0,28.4,0,0,0,7.4,0,0,0,62.4,13,94.4,3.8,9.8,0,0,0,0,11.4,0,19.8,0,0,0,0,0,0,0,0,428.8
